NEW YORK, NY 10014","PETER FINE (HEAD OFFICER), CHRISTINA PIMENTEL, BATHGATE AVENUE ASSOCIATES LP, WAVECREST MANAGEMENT GROUP",,"BATHGATE GROUND, LLC",1/23/20,"$4,463,827.00","$1,058,405.00","$588,764.00","$469,641.00",
4.28%,3009660043,"$4,492,000.00",,,,,,,,,"$287,854.00","$95,724.00","$192,130.00",
4.28%,1015520038,"$4,525,000.00",,,,,,,,,"$347,181.00","$153,677.00","$193,504.00",
4.26%,1021420063,"$6,000,000.00",,,,,,,,,"$452,403.00","$197,048.00","$255,355.00",
4.23%,1021770218,"$10,150,000.00",,,,,,,,,"$857,785.00","$428,550.00","$429,235.00",
4.22%,1019400055,"$2,750,000.00",,,,,,,,,"$265,281.00","$149,329.00","$115,952.00",
4.18%,1015220037,"$7,097,381.00",,,,,,,,,"$456,783.00","$159,848.00","$296,935.00",
4.17%,3047240040,"$4,250,000.00",,,,,,,,,"$418,871.00","$241,651.00","$177,220.00",
4.16%,4006860027,"$2,350,000.00",,,,,,,,,"$220,139.00","$122,480.00","$97,659.00",
4.13%,1014840049,"$7,800,000.00",,,,,,,,,"$447,628.00","$125,376.00","$322,252.00",
4.13%,1021750100,"$7,850,000.00",,,,,,,,,"$694,932.00","$371,052.00","$323,880.00",
4.11%,3011050063,"$4,200,000.00",,,,,,,,,"$246,658.00","$74,120.00","$172,538.00",
4.09%,4030790086,"$12,600,000.00",,,,,,,,,"$971,577.00","$456,350.00","$515,227.00",
4.08%,1015640037,"$3,185,000.00",,,,,,,,,"$255,042.00","$125,231.00","$129,811.00",
4.05%,1005250032,"$11,000,000.00",,,,,,,,,"$744,581.00","$298,558.00","$446,023.00",
4.04%,2039840001,"$11,250,000.00",,,,,,,,,"$1,242,416.00","$788,214.00","$454,202.00",
4.03%,2031030020,"$6,250,000.00",,,,,,,,,"$687,184.00","$435,243.00","$251,941.00",
4.01%,1013980014,"$5,750,000.00",,,,,,,,,"$340,985.00","$110,291.00","$230,694.00",
3.97%,3050820091,"$1,450,000.00",,,,,,,,,"$218,604.00","$161,057.00","$57,547.00",
3.93%,3027610010,"$3,800,000.00",,,,,,,,,"$262,460.00","$113,224.00","$149,236.00",
3.90%,1001790032,"$41,000,000.00",,,,,,,,,"$1,968,217.00","$367,839.00","$1,600,378.00",
3.84%,3011660064,"$2,861,325.00",,,,,,,,,"$184,742.00","$74,850.00","$109,892.00",
3.82%,1005710018,"$23,500,000.00",,,,,,,,,"$1,067,468.00","$170,144.00","$897,324.00",
3.82%,1018800023,"$5,050,000.00",,,,,,,,,"$368,287.00","$175,461.00","$192,826.00",
3.81%,3012280060,"$12,725,000.00",,,,,,,,,"$1,179,497.00","$694,900.00","$484,597.00",
3.75%,2029270014,"$1,800,000.00",,,,,,,,,"$194,043.00","$126,470.00","$67,573.00",
3.70%,1010750049,"$4,000,000.00",,,,,,,,,"$302,948.00","$154,784.00","$148,164.00",
3.69%,3002740035,"$3,850,000.00",,,,,,,,,"$186,882.00","$44,644.00","$142,238.00",
3.69%,3019690022,"$46,300,000.00",,,,,,,,,"$2,627,041.00","$918,680.00","$1,708,361.00",
3.65%,2028970127,"$5,000,000.00",,,,,,,,,"$509,943.00","$327,277.00","$182,666.00",
3.53%,1004140061,"$1,950,100.00",,,,,,,,,"$187,636.00","$118,827.00","$68,809.00",
3.52%,1015290037,"$10,192,849.00",,,,,,,,,"$464,062.00","$104,844.00","$359,218.00",
3.50%,1021420081,"$4,400,000.00",,,,,,,,,"$424,906.00","$271,023.00","$153,883.00",
3.46%,2028050045,"$6,350,000.00",,,,,,,,,"$465,093.00","$245,231.00","$219,862.00",
3.41%,1006100060,"$92,600,000.00",,,,,,,,,"$5,075,867.00","$1,916,148.00","$3,159,719.00",
3.38%,2032730321,"$5,500,000.00",,,,,,,,,"$548,322.00","$362,376.00","$185,946.00",
3.38%,4095230051,"$6,100,000.00",,,,,,,,,"$388,912.00","$182,954.00","$205,958.00",
3.38%,3058510040,"$5,485,000.00",,,,,,,,,"$312,852.00","$127,674.00","$185,178.00",
3.35%,2039230038,"$1,900,000.00",,,,,,,,,"$98,766.00","$35,143.00","$63,623.00",
3.30%,3033040019,"$12,900,000.00",,,,,,,,,"$647,646.00","$221,993.00","$425,653.00",
3.27%,2029710019,"$2,625,000.00",,,,,,,,,"$132,473.00","$46,622.00","$85,851.00",
3.23%,2031620009,"$2,987,500.00",,,,,,,,,"$279,143.00","$182,536.00","$96,607.00",
3.23%,1004180047,"$5,350,000.00",,,,,,,,,"$367,698.00","$195,124.00","$172,574.00",
3.21%,2046540001,"$5,200,000.00",,,,,,,,,"$606,628.00","$439,560.00","$167,068.00",
3.17%,3066210001,"$8,150,000.00",,,,,,,,,"$428,419.00","$170,097.00","$258,322.00",
3.15%,1004920004,"$8,862,500.00",,,,,,,,,"$432,853.00","$153,649.00","$279,204.00",
3.12%,3051390032,"$8,500,000.00",,,,,,,,,"$802,169.00","$537,267.00","$264,902.00",
3.07%,3009180012,"$5,400,000.00",,,,,,,,,"$207,940.00","$41,895.00","$166,045.00",
3.04%,1021420097,"$5,200,000.00",,,,,,,,,"$393,514.00","$235,635.00","$157,879.00",
3.00%,3010160081,"$3,040,000.00",,,,,,,,,"$171,860.00","$80,812.00","$91,048.00",
2.99%,3033040014,"$15,700,000.00",,,,,,,,,"$697,251.00","$227,309.00","$469,942.00",
2.98%,3014830003,"$30,600,000.00",,,,,,,,,"$1,383,250.00","$472,343.00","$910,907.00",
2.94%,1014840051,"$6,050,000.00",,,,,,,,,"$256,029.00","$77,970.00","$178,059.00",
2.93%,4006230063,"$3,100,000.00",,,,,,,,,"$130,117.00","$39,147.00","$90,970.00",
2.80%,1015790040,"$2,695,000.00",,,,,,,,,"$159,572.00","$84,125.00","$75,447.00",
2.76%,1017270006,"$5,150,000.00",,,,,,,,,"$455,268.00","$313,109.00","$142,159.00",
2.75%,2028080009,"$3,800,000.00",,,,,,,,,"$412,418.00","$308,065.00","$104,353.00",
2.72%,1014460004,"$5,975,000.00",,,,,,,,,"$245,518.00","$82,953.00","$162,565.00",
2.68%,1011960114,"$3,900,000.00",,,,,,,,,"$203,764.00","$99,190.00","$104,574.00",
2.63%,2033050010,"$3,100,000.00",,,,,,,,,"$248,551.00","$166,871.00","$81,680.00",
2.60%,3019970020,"$8,353,019.00",,,,,,,,,"$537,246.00","$320,049.00","$217,197.00",
2.59%,4032560031,"$4,250,000.00",,,,,,,,,"$157,117.00","$47,009.00","$110,108.00",
2.58%,3012680001,"$1,800,000.00",,,,,,,,,"$117,342.00","$70,840.00","$46,502.00",
2.58%,3002490025,"$2,800,000.00",,,,,,,,,"$133,590.00","$61,330.00","$72,260.00",
2.48%,1011460061,"$37,750,000.00",,,,,,,,,"$2,265,703.00","$1,329,506.00","$936,197.00",
2.48%,3067480016,"$5,050,000.00",1806,OCEAN AVENUE,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (HeadOfficer), ROBERT IZSAK (Agent), MAX ROVT (Officer)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; 1806 OCEAN AVENUE LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; 1806 OCEAN REALTY LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",,,,"$555,026.00","$429,803.00","$125,223.00",
2.48%,1021700001,"$6,800,000.00",,,,,,,,,"$323,042.00","$154,561.00","$168,481.00",
2.45%,3046740021,"$3,730,000.00",,,,,,,,,"$234,623.00","$143,285.00","$91,338.00",
2.42%,1012050022,"$20,000,000.00",,,,,,,,,"$1,007,974.00","$524,773.00","$483,201.00",
2.42%,1004090001,"$4,750,000.00",,,,,,,,,"$296,837.00","$182,079.00","$114,758.00",
2.40%,1015770027,"$67,000,000.00",,,,,,,,,"$3,019,147.00","$1,407,867.00","$1,611,280.00",
2.38%,3011640082,"$8,583,975.00",,,,,,,,,"$319,756.00","$115,377.00","$204,379.00",
2.36%,2024260002,"$1,900,000.00",,,,,,,,,"$151,437.00","$106,637.00","$44,800.00",
2.31%,1015210064,"$27,250,000.00",,,,,,,,,"$1,154,346.00","$523,661.00","$630,685.00",
2.30%,2049940041,"$5,050,000.00",,,,,,,,,"$439,558.00","$323,191.00","$116,367.00",
2.25%,1014530010,"$3,700,000.00",,,,,,,,,"$353,213.00","$269,897.00","$83,316.00",
2.23%,1004710017,"$6,225,000.00",,,,,,,,,"$311,137.00","$172,312.00","$138,825.00",
2.22%,1004090003,"$9,080,000.00",,,,,,,,,"$349,530.00","$148,392.00","$201,138.00",
2.21%,1012710007,"$45,000,000.00",,,,,,,,,"$2,818,293.00","$1,822,992.00","$995,301.00",
2.19%,3010470003,"$86,000,000.00",,,,,,,,,"$2,133,097.00","$247,459.00","$1,885,638.00",
2.17%,1013470001,"$7,100,000.00",,,,,,,,,"$276,862.00","$123,122.00","$153,740.00",
2.09%,1013100027,"$47,000,000.00",,,,,,,,,"$3,028,680.00","$2,045,417.00","$983,263.00",
2.09%,1004630049,"$4,675,000.00",,,,,,,,,"$196,732.00","$99,177.00","$97,555.00",
2.06%,3001760036,"$16,500,000.00",,,,,,,,,"$491,449.00","$150,858.00","$340,591.00",
2.05%,3011770007,"$22,000,000.00",,,,,,,,,"$735,015.00","$283,443.00","$451,572.00",
2.03%,2033190014,"$3,500,000.00",,,,,,,,,"$235,518.00","$164,328.00","$71,190.00",
2.02%,3051630063,"$5,722,650.00",,,,,,,,,"$199,741.00","$84,066.00","$115,675.00",
2.00%,1014510029,"$4,900,000.00",,,,,,,,,"$119,446.00","$21,680.00","$97,766.00",
1.99%,3024950008,"$2,400,000.00",,,,,,,,,"$187,740.00","$140,056.00","$47,684.00",
1.94%,1012030040,"$3,800,000.00",,,,,,,,,"$124,675.00","$50,850.00","$73,825.00",
1.91%,1012140106,"$5,200,000.00",,,,,,,,,"$257,115.00","$157,946.00","$99,169.00",
1.88%,3013860054,"$3,240,000.00",,,,,,,,,"$165,377.00","$104,454.00","$60,923.00",
1.83%,3009140001,"$7,000,000.00",,,,,,,,,"$276,235.00","$148,140.00","$128,095.00",
1.82%,1003900057,"$3,425,000.00",,,,,,,,,"$231,585.00","$169,172.00","$62,413.00",
1.82%,1013430036,"$66,248,000.00",,,,,,,,,"$2,680,861.00","$1,476,913.00","$1,203,948.00",
1.81%,1004600019,"$4,000,000.00",,,,,,,,,"$135,709.00","$63,412.00","$72,297.00",
1.79%,3051220044,"$5,700,000.00",,,,,,,,,"$485,316.00","$383,374.00","$101,942.00",
1.75%,2027030020,"$3,200,000.00",,,,,,,,,"$309,572.00","$253,724.00","$55,848.00",
1.68%,2022660005,"$5,000,000.00",,,,,,,,,"$469,000.00","$385,000.00","$84,000.00",
1.67%,1018600064,"$4,416,383.00",,,,,,,,,"$91,328.00","$17,639.00","$73,689.00",
1.60%,1006250044,"$3,318,000.00",,,,,,,,,"$127,179.00","$74,188.00","$52,991.00",
1.55%,1018620064,"$5,427,219.00",,,,,,,,,"$103,728.00","$19,654.00","$84,074.00",
1.55%,1018600063,"$4,977,334.00",,,,,,,,,"$83,314.00","$6,326.00","$76,988.00",
1.46%,1017670021,"$4,000,000.00",,,,,,,,,"$327,407.00","$269,010.00","$58,397.00",
1.46%,2022920037,"$11,250,000.00",,,,,,,,,"$979,416.00","$815,472.00","$163,944.00",
1.44%,3013990052,"$2,450,000.00",,,,,,,,,"$83,277.00","$48,005.00","$35,272.00",
1.37%,1004940009,"$8,862,500.00",,,,,,,,,"$324,344.00","$203,285.00","$121,059.00",
1.31%,3032370027,"$4,000,000.00",,,,,,,,,"$335,738.00","$283,416.00","$52,322.00",
1.27%,3065410046,"$5,518,000.00",,,,,,,,,"$134,500.00","$64,441.00","$70,059.00",
1.21%,1016150011,"$5,500,000.00",,,,,,,,,"$252,787.00","$186,152.00","$66,635.00",
1.18%,1018430017,"$10,510,291.00",,,,,,,,,"$150,425.00","$26,884.00","$123,541.00",
1.17%,1018430051,"$10,510,291.00",,,,,,,,,"$150,425.00","$27,269.00","$123,156.00",
1.12%,1009100001,"$4,400,000.00",,,,,,,,,"$70,986.00","$21,808.00","$49,178.00",
1.09%,1019870029,"$5,925,000.00",,,,,,,,,"$343,752.00","$279,068.00","$64,684.00",
1.09%,2023790026,"$1,400,000.00",,,,,,,,,"$109,680.00","$94,450.00","$15,230.00",
1.02%,1015140058,"$6,800,000.00",,,,,,,,,"$152,966.00","$83,513.00","$69,453.00",
0.99%,1010320103,"$3,500,000.00",,,,,,,,,"$61,056.00","$26,530.00","$34,526.00",
0.98%,1012320014,"$70,250,000.00",,,,,,,,,"$1,421,800.00","$734,405.00","$687,395.00",
0.95%,1014670144,"$2,800,000.00",,,,,,,,,"$61,410.00","$34,746.00","$26,664.00",
0.94%,1005070012,"$8,000,000.00",,,,,,,,,"$280,683.00","$205,146.00","$75,537.00",
0.87%,1018600061,"$13,155,176.00",,,,,,,,,"$155,123.00","$40,749.00","$114,374.00",
